permno,date,ret,vol,shrout
10066,2021-09-01,-0.01125,33383.0,11590.0
10066,2021-09-02,-0.010114,36244.0,11590.0
10066,2021-09-03,0.085568,61386.0,11590.0
10066,2021-09-07,0.062353,61618.0,11590.0
10066,2021-09-08,-0.015504,32305.0,11590.0
10066,2021-09-09,-0.024747,29428.0,11590.0
10066,2021-09-10,0.019608,39402.0,11590.0
10066,2021-09-13,-0.058824,47365.0,11590.0
10066,2021-09-14,-0.02524,17665.0,11590.0
10066,2021-09-15,-0.006165,14476.0,11590.0
10066,2021-09-16,0.021092,22724.0,11590.0
10066,2021-09-17,0.010936,38436.0,11590.0
10066,2021-09-20,-0.038462,48873.0,11590.0
10066,2021-09-21,-0.00375,8856.0,11590.0
10066,2021-09-22,-0.033852,21128.0,11590.0
10066,2021-09-23,0.028545,21099.0,11590.0
10066,2021-09-24,0.021465,9854.0,11590.0
10066,2021-09-27,-0.011125,36528.0,11590.0
10066,2021-09-28,0.00125,14925.0,11590.0
10066,2021-09-29,-0.047441,24770.0,11590.0
10066,2021-09-30,-0.048493,56250.0,11594.0
10066,2021-10-01,-0.016529,44135.0,11594.0
10066,2021-10-04,-0.113445,90275.0,11594.0
10066,2021-10-05,-0.00158,31422.0,11594.0
10066,2021-10-06,-0.121044,151282.0,11594.0
10066,2021-10-07,0.013501,139178.0,11594.0
10066,2021-10-08,-0.028419,37157.0,11594.0
10066,2021-10-11,0.005485,29842.0,11594.0
10066,2021-10-12,0.058182,61813.0,11594.0
10066,2021-10-13,0.024055,61102.0,11594.0
10066,2021-10-14,0.016779,87772.0,11594.0
10066,2021-10-15,-0.034654,33068.0,11594.0
10066,2021-10-18,0.025641,23960.0,11594.0
10066,2021-10-19,-0.003333,23432.0,11594.0
10066,2021-10-20,-0.013378,19862.0,11594.0
10066,2021-10-21,-0.032203,47304.0,11594.0
10066,2021-10-22,0.003503,43128.0,11594.0
10066,2021-10-25,-0.005236,40462.0,11594.0
10066,2021-10-26,-0.042105,79514.0,11594.0
10066,2021-10-27,-0.075092,145917.0,11594.0
10066,2021-10-28,0.007921,326291.0,11594.0
10066,2021-10-29,0.02947,86550.0,11594.0
10066,2021-11-01,0.041985,83167.0,11594.0
10066,2021-11-02,-0.010989,48494.0,11594.0
10066,2021-11-03,-0.024074,26835.0,11594.0
10066,2021-11-04,0.024668,38098.0,11594.0
10066,2021-11-05,-0.033333,41283.0,11594.0
10066,2021-11-08,0.036399,71837.0,11594.0
10066,2021-11-09,-0.146026,229313.0,11594.0
10066,2021-11-10,-0.071429,115182.0,11594.0
10066,2021-11-11,-0.037296,101593.0,11594.0
10066,2021-11-12,-0.007264,204806.0,11594.0
10066,2021-11-15,0.114634,169605.0,11594.0
10066,2021-11-16,-0.004376,74856.0,11594.0
10066,2021-11-17,-0.004396,112525.0,11594.0
10066,2021-11-18,-0.024283,55560.0,11594.0
10066,2021-11-19,-0.058824,48707.0,11594.0
10066,2021-11-22,-0.052885,80887.0,11594.0
10066,2021-11-23,0.0,81226.0,11594.0
10066,2021-11-24,0.015228,50969.0,11594.0
10066,2021-11-26,-0.0175,15205.0,11594.0
10066,2021-11-29,0.007634,29360.0,11594.0
10066,2021-11-30,-0.012626,68533.0,11594.0
10066,2021-12-01,-0.012788,30401.0,11594.0
10066,2021-12-02,-0.036269,76341.0,11594.0
10066,2021-12-03,-0.024194,46587.0,11594.0
10066,2021-12-06,0.0,36663.0,11594.0
10066,2021-12-07,0.077135,55166.0,11594.0
10066,2021-12-08,0.048593,31809.0,11594.0
10066,2021-12-09,0.002439,71393.0,11594.0
10066,2021-12-10,-0.024331,25874.0,11594.0
10066,2021-12-13,-0.01995,108589.0,11594.0
10066,2021-12-14,-0.063613,38743.0,11594.0
10066,2021-12-15,0.013587,21171.0,11594.0
10066,2021-12-16,-0.085791,69383.0,11594.0
10066,2021-12-17,0.093842,68754.0,11594.0
10066,2021-12-20,-0.018767,60378.0,11594.0
10066,2021-12-21,0.038251,54724.0,11594.0
10066,2021-12-22,-0.026316,54464.0,11594.0
10066,2021-12-23,-0.013514,64947.0,11594.0
10066,2021-12-27,-0.057534,138362.0,11594.0
10066,2021-12-28,-0.017442,53090.0,11594.0
10066,2021-12-29,-0.04142,240359.0,11594.0
10066,2021-12-30,0.114197,114369.0,11594.0
10066,2021-12-31,0.210526,199480.0,11594.0
10066,2022-01-03,0.059497,150440.0,11594.0
10066,2022-01-04,0.019438,88584.0,11594.0
10066,2022-01-05,-0.027542,49183.0,11594.0
10066,2022-01-06,0.002179,95597.0,11594.0
10066,2022-01-07,-0.013044,36048.0,11594.0
10066,2022-01-10,-0.015419,43102.0,11594.0
10066,2022-01-11,0.03132,44469.0,11594.0
10066,2022-01-12,0.0,13832.0,11594.0
10066,2022-01-13,-0.004338,23135.0,11594.0
10066,2022-01-14,0.004357,22165.0,11594.0
10066,2022-01-18,-0.041215,31409.0,11594.0
10066,2022-01-19,-0.045249,16681.0,11594.0
10066,2022-01-20,0.007109,9816.0,11594.0
10066,2022-01-21,-0.016471,7844.0,11594.0
10066,2022-01-24,0.004785,28182.0,11594.0
10066,2022-01-25,0.026191,20070.0,11594.0
10066,2022-01-26,-0.064965,7816.0,11594.0
10066,2022-01-27,0.0,48245.0,11594.0
10066,2022-01-28,0.010968,18881.0,11594.0
10066,2022-01-31,0.023514,13373.0,11594.0
10066,2022-02-01,0.023981,5159.0,11594.0
10066,2022-02-02,-0.009368,21119.0,11594.0
10066,2022-02-03,-0.016549,10538.0,11594.0
10066,2022-02-04,-0.007211,4087.0,11594.0
10066,2022-02-07,-0.01937,33944.0,11594.0
10066,2022-02-08,0.007407,4102.0,11594.0
10066,2022-02-09,-0.014706,8235.0,11594.0
10066,2022-02-10,0.032338,6534.0,11594.0
10066,2022-02-11,0.00241,22086.0,11594.0
10066,2022-02-14,-0.036058,130188.0,11594.0
10066,2022-02-15,0.002494,17793.0,11594.0
10066,2022-02-16,-0.007463,9140.0,11594.0
10066,2022-02-17,-0.017544,9945.0,11594.0
10066,2022-02-18,0.002551,21394.0,11594.0
10066,2022-02-22,-0.02799,21019.0,11594.0
10066,2022-02-23,-0.032723,77305.0,11594.0
10066,2022-02-24,0.001353,40200.0,11594.0
10066,2022-02-25,0.027027,33140.0,11594.0
10066,2022-02-28,-0.010526,15320.0,11594.0
10066,2022-03-01,0.053192,31813.0,11594.0
10066,2022-03-02,-0.037879,9433.0,11594.0
10066,2022-03-03,-0.005249,18970.0,11594.0
10066,2022-03-04,-0.023747,5810.0,11594.0
10066,2022-03-07,0.037838,26776.0,11594.0
10066,2022-03-08,0.018229,8666.0,11594.0
10066,2022-03-09,0.017903,18023.0,11594.0
10066,2022-03-10,-0.015075,3994.0,11594.0
10066,2022-03-11,-0.007653,6239.0,11594.0
10066,2022-03-14,-0.010283,7366.0,11594.0
10066,2022-03-15,-0.012987,2255.0,11594.0
10066,2022-03-16,0.034211,7339.0,11594.0
10066,2022-03-17,0.010178,7255.0,11594.0
10066,2022-03-18,0.007557,20241.0,11594.0
10066,2022-03-21,-0.0175,4302.0,11594.0
10066,2022-03-22,0.033079,5304.0,11594.0
10066,2022-03-23,0.007389,25638.0,11594.0
10066,2022-03-24,0.012225,13102.0,11594.0
10066,2022-03-25,-0.014493,5759.0,11594.0
10066,2022-03-28,0.017157,6908.0,11594.0
10066,2022-03-29,-0.014458,7897.0,11594.0
10066,2022-03-30,-0.03423,11189.0,11594.0
10066,2022-03-31,0.008861,5993.0,11594.0
10066,2022-04-01,-0.02133,17938.0,11594.0
10066,2022-04-04,0.007692,4731.0,11594.0
10066,2022-04-05,0.005089,10815.0,11594.0
10066,2022-04-06,0.0,11133.0,11594.0
10066,2022-04-07,-0.035443,14311.0,11594.0
10066,2022-04-08,0.031496,9653.0,11594.0
10066,2022-04-11,-0.030534,10518.0,11594.0
10066,2022-04-12,-0.015748,8750.0,11594.0
10066,2022-04-13,0.0,4868.0,11594.0
10066,2022-04-14,0.0,17472.0,11594.0
10066,2022-04-18,0.030667,10568.0,11594.0
10066,2022-04-19,0.003881,4791.0,11594.0
10066,2022-04-20,0.005155,12511.0,11594.0
10066,2022-04-21,-0.012821,8354.0,11594.0
10066,2022-04-22,-0.032779,7807.0,11594.0
10066,2022-04-25,0.00435,11248.0,11594.0
10066,2022-04-26,-0.013369,6139.0,11594.0
10066,2022-04-27,-0.03794,28579.0,11594.0
10066,2022-04-28,-0.014085,18230.0,11594.0
10066,2022-04-29,-0.02,14501.0,11594.0
10066,2022-05-02,-0.049417,58493.0,11594.0
10066,2022-05-03,0.039718,10735.0,11594.0
10066,2022-05-04,0.032448,9894.0,11594.0
10066,2022-05-05,-0.028571,2116.0,11594.0
10066,2022-05-06,-0.011765,7391.0,11594.0
10066,2022-05-09,0.008929,9186.0,11594.0
10066,2022-05-10,-0.022124,13493.0,11594.0
10066,2022-05-11,-0.007542,8162.0,11594.0
10066,2022-05-12,-0.015198,22214.0,11594.0
10066,2022-05-13,0.04321,6850.0,11594.0
10066,2022-05-16,0.0,4537.0,11594.0
10066,2022-05-17,0.142012,12259.0,11594.0
10066,2022-05-18,-0.018135,15634.0,11594.0
10066,2022-05-19,-0.042216,5416.0,11594.0
10066,2022-05-20,0.013774,2315.0,11594.0
10066,2022-05-23,-0.054348,15496.0,11594.0
10066,2022-05-24,-0.011494,3883.0,11594.0
10066,2022-05-25,-0.040785,6593.0,11594.0
10066,2022-05-26,0.018274,9056.0,11594.0
10066,2022-05-27,0.014881,1067.0,11594.0
10066,2022-05-31,0.052786,7291.0,11594.0
10066,2022-06-01,-0.002786,574.0,11594.0
10066,2022-06-02,-0.02514,13967.0,11594.0
10066,2022-06-03,-0.011461,4736.0,11594.0
10066,2022-06-06,0.008696,19953.0,11594.0
10066,2022-06-07,-0.008621,6075.0,11594.0
10066,2022-06-08,0.0,8920.0,11594.0
10066,2022-06-09,-0.032667,4643.0,11594.0
10066,2022-06-10,-0.026159,4937.0,11594.0
10066,2022-06-13,0.021538,11728.0,11594.0
10066,2022-06-14,-0.027108,9974.0,11594.0
10066,2022-06-15,0.027864,1843.0,11594.0
10066,2022-06-16,-0.027108,3781.0,11594.0
10066,2022-06-17,0.092879,19493.0,11594.0
10066,2022-06-21,-0.067989,5456.0,11594.0
10066,2022-06-22,-0.015198,9246.0,11594.0
10066,2022-06-23,-0.037037,177973.0,11594.0
10066,2022-06-24,0.009615,23852.0,11594.0
10066,2022-06-27,-0.003175,18821.0,11594.0
10066,2022-06-28,0.022293,171.0,11594.0
10066,2022-06-29,-0.071651,71994.0,11594.0
10066,2022-06-30,0.064664,21763.0,11684.0
10066,2022-07-01,-0.038674,12364.0,11684.0
10066,2022-07-05,0.003279,8711.0,11684.0
10066,2022-07-06,-0.022876,39315.0,11684.0
10066,2022-07-07,0.070234,13442.0,11684.0
10066,2022-07-08,0.05,7481.0,11684.0
10066,2022-07-11,-0.007321,4168.0,11684.0
10066,2022-07-12,-0.043593,2212.0,11684.0
10066,2022-07-13,-0.053292,7939.0,11684.0
10066,2022-07-14,0.0,11078.0,11684.0
10066,2022-07-15,0.013245,16792.0,11684.0
10066,2022-07-18,0.003268,18308.0,11684.0
10066,2022-07-19,-0.003257,4266.0,11684.0
10066,2022-07-20,-0.026144,4137.0,11684.0
10066,2022-07-21,0.02349,5886.0,11684.0
10066,2022-07-22,-0.036066,6827.0,11684.0
10066,2022-07-25,-0.010204,8312.0,11684.0
10066,2022-07-26,0.013746,5776.0,11684.0
